Epoch 001 | lr=0.0005000 | train_loss=0.431497 | val_macro_f1=0.460569
Epoch 002 | lr=0.0005000 | train_loss=0.369599 | val_macro_f1=0.465151
Epoch 003 | lr=0.0005000 | train_loss=0.362653 | val_macro_f1=0.469986
Epoch 004 | lr=0.0005000 | train_loss=0.357898 | val_macro_f1=0.469198
Epoch 005 | lr=0.0005000 | train_loss=0.357312 | val_macro_f1=0.473869
Epoch 006 | lr=0.0005000 | train_loss=0.357181 | val_macro_f1=0.472604
Epoch 007 | lr=0.0005000 | train_loss=0.356230 | val_macro_f1=0.465569
Epoch 008 | lr=0.0005000 | train_loss=0.354610 | val_macro_f1=0.473884
Epoch 009 | lr=0.0005000 | train_loss=0.354000 | val_macro_f1=0.473610
Epoch 010 | lr=0.0005000 | train_loss=0.353966 | val_macro_f1=0.483397
Epoch 011 | lr=0.0005000 | train_loss=0.353564 | val_macro_f1=0.468300
Epoch 012 | lr=0.0005000 | train_loss=0.352628 | val_macro_f1=0.471387
Epoch 013 | lr=0.0005000 | train_loss=0.352100 | val_macro_f1=0.458891
Epoch 014 | lr=0.0005000 | train_loss=0.348997 | val_macro_f1=0.464246
Epoch 015 | lr=0.0005000 | train_loss=0.349625 | val_macro_f1=0.475855
Epoch 016 | lr=0.0002500 | train_loss=0.344720 | val_macro_f1=0.495457
Epoch 017 | lr=0.0002500 | train_loss=0.339034 | val_macro_f1=0.484875
Epoch 018 | lr=0.0002500 | train_loss=0.337978 | val_macro_f1=0.506125
Epoch 019 | lr=0.0002500 | train_loss=0.337090 | val_macro_f1=0.492634
Epoch 020 | lr=0.0002500 | train_loss=0.335854 | val_macro_f1=0.491940
Epoch 021 | lr=0.0002500 | train_loss=0.333991 | val_macro_f1=0.489823
Epoch 022 | lr=0.0002500 | train_loss=0.334544 | val_macro_f1=0.504389
Epoch 023 | lr=0.0002500 | train_loss=0.332305 | val_macro_f1=0.496877
Epoch 024 | lr=0.0001250 | train_loss=0.325171 | val_macro_f1=0.517503
Epoch 025 | lr=0.0001250 | train_loss=0.320805 | val_macro_f1=0.522608
Epoch 026 | lr=0.0001250 | train_loss=0.322015 | val_macro_f1=0.519650
Epoch 027 | lr=0.0001250 | train_loss=0.319698 | val_macro_f1=0.527461
Epoch 028 | lr=0.0001250 | train_loss=0.319189 | val_macro_f1=0.520386
Epoch 029 | lr=0.0001250 | train_loss=0.317562 | val_macro_f1=0.519513
Epoch 030 | lr=0.0001250 | train_loss=0.317337 | val_macro_f1=0.523750
Epoch 031 | lr=0.0001250 | train_loss=0.320037 | val_macro_f1=0.518025
Epoch 032 | lr=0.0001250 | train_loss=0.317463 | val_macro_f1=0.515489
Epoch 033 | lr=0.0000625 | train_loss=0.312047 | val_macro_f1=0.532735
Epoch 034 | lr=0.0000625 | train_loss=0.308247 | val_macro_f1=0.529758
Epoch 035 | lr=0.0000625 | train_loss=0.309548 | val_macro_f1=0.527817
Epoch 036 | lr=0.0000625 | train_loss=0.307454 | val_macro_f1=0.529828
Epoch 037 | lr=0.0000625 | train_loss=0.308074 | val_macro_f1=0.508726
Epoch 038 | lr=0.0000625 | train_loss=0.307305 | val_macro_f1=0.536751
Epoch 039 | lr=0.0000625 | train_loss=0.307584 | val_macro_f1=0.524720
Epoch 040 | lr=0.0000625 | train_loss=0.306962 | val_macro_f1=0.541232
Epoch 041 | lr=0.0000625 | train_loss=0.306504 | val_macro_f1=0.540042
Epoch 042 | lr=0.0000625 | train_loss=0.305235 | val_macro_f1=0.535089
Epoch 043 | lr=0.0000625 | train_loss=0.304899 | val_macro_f1=0.532469
Epoch 044 | lr=0.0000625 | train_loss=0.305341 | val_macro_f1=0.399175
Epoch 045 | lr=0.0000625 | train_loss=0.304068 | val_macro_f1=0.533508
Epoch 046 | lr=0.0000313 | train_loss=0.300475 | val_macro_f1=0.537057
Epoch 047 | lr=0.0000313 | train_loss=0.301026 | val_macro_f1=0.536872
Epoch 048 | lr=0.0000313 | train_loss=0.299399 | val_macro_f1=0.542521
Epoch 049 | lr=0.0000313 | train_loss=0.298690 | val_macro_f1=0.543993
Epoch 050 | lr=0.0000313 | train_loss=0.298919 | val_macro_f1=0.541760
Epoch 051 | lr=0.0000313 | train_loss=0.298006 | val_macro_f1=0.545962
Epoch 052 | lr=0.0000313 | train_loss=0.297857 | val_macro_f1=0.545534
Epoch 053 | lr=0.0000313 | train_loss=0.297480 | val_macro_f1=0.548768
Epoch 054 | lr=0.0000313 | train_loss=0.297113 | val_macro_f1=0.546649
