task,alpha,clients,rounds,best_round,macro_f1,accuracy,communication_total_bytes,run_id,accepted
l1_binary,0.1,3,30,19,0.7761235066086487,0.7825396825396825,13118880,run_20260507_202624,True
l1_binary,0.1,4,30,1,0.3225806451612903,0.47619047619047616,13595520,run_20260507_202913,True
l1_binary,0.1,5,30,1,0.3225806451612903,0.47619047619047616,16499040,run_20260507_203211,True
l1_binary,0.5,3,30,29,0.928444694247399,0.929037037037037,13118880,run_20260507_171127,True
l1_binary,0.5,4,30,27,0.927489984583376,0.9274920634920635,13595520,run_20260507_203620,True
l1_binary,0.5,5,30,24,0.8575258960429044,0.8618941798941799,16499040,run_20260507_204102,True
l1_binary,5.0,3,30,25,0.9489832409137957,0.949015873015873,13118880,run_20260507_204559,True
l1_binary,5.0,4,30,30,0.9472070001774421,0.9473544973544974,13595520,run_20260507_205116,True
l1_binary,5.0,5,30,27,0.9471024088189193,0.9471957671957671,16499040,run_20260507_205616,True
l2_family,0.1,3,30,25,0.38848818031084076,0.6478819282685958,13491840,run_20260507_210119,True
l2_family,0.1,4,30,17,0.4403993760713485,0.6908820952766034,14062080,run_20260507_223140,True
l2_family,0.1,5,30,1,0.23360766970544183,0.39379682450388365,17059200,run_20260507_234721,True
l2_family,0.5,3,30,14,0.7085068316657612,0.8194013495418999,13491840,run_20260507_171543,True
l2_family,0.5,4,30,6,0.5282843503367546,0.7248359952065772,14062080,run_20260508_010358,True
l2_family,0.5,5,30,27,0.679561733871369,0.8244108572784726,17059200,run_20260508_022514,True
l2_family,5.0,3,30,23,0.6994381306283366,0.8398810727188024,13491840,run_20260508_033906,True
l2_family,5.0,4,30,27,0.6826285707800535,0.8363138402758855,14062080,run_20260508_045842,True
l2_family,5.0,5,30,23,0.685777836832272,0.8275239451393345,17059200,run_20260508_061516,True
